3000	1	0.6	0.212391304
3050	1	0.607717391	0.219782609
3100	1	0.615326087	0.229456522
3150	1	0.625978261	0.238586957
3200	1	0.636521739	0.249130435
3250	1	0.646847826	0.256630435
3300	1	0.654347826	0.265978261
3350	1	0.664673913	0.27673913
3400	1	0.673152174	0.286413043
3450	1	0.682065217	0.298586957
3500	1	0.690434783	0.307282609
3550	1	0.691195652	0.3225
3600	1	0.707282609	0.327934783
3650	1	0.715326087	0.339130435
3700	1	0.724782609	0.349456522
3750	1	0.734673913	0.3575
3800	1	0.743369565	0.372282609
3850	1	0.745543478	0.380652174
3900	1	0.752608696	0.394565217
3950	1	0.754021739	0.401847826
4000	1	0.770434783	0.412826087
4050	1	0.776521739	0.42673913
4100	1	0.785652174	0.435869565
4150	1	0.794347826	0.444565217
4200	1	0.800869565	0.458804348
4250	1	0.809021739	0.469673913
4300	1	0.815217391	0.481630435
4350	1	0.822173913	0.492282609
4400	1	0.829130435	0.503586957
4450	1	0.837717391	0.513369565
4500	1	0.844130435	0.526304348
4550	1	0.849891304	0.53673913
4600	1	0.855543478	0.547065217
4650	1	0.865869565	0.558913043
4700	1	0.874782609	0.57173913
4750	1	0.8775	0.581956522
4800	1	0.86826087	0.579891304
4850	1	0.883152174	0.595326087
4900	1	0.890108696	0.609891304
4950	1	0.895108696	0.624021739
5000	1	0.90423913	0.632826087
5050	1	0.906413043	0.6425
5100	1	0.914565217	0.655326087
5150	1	0.921847826	0.667391304
5200	1	0.912173913	0.669782609
5250	1	0.932608696	0.689782609
5300	1	0.937826087	0.699782609
5350	1	0.94	0.711304348
5400	1	0.937608696	0.711847826
5450	1	0.948043478	0.729021739
5500	1	0.955	0.738043478
5550	1	0.958043478	0.747826087
5600	1	0.964891304	0.761847826
5650	1	0.973152174	0.772282609
5700	1	0.972282609	0.779782609
5750	1	0.974673913	0.788043478
5800	1	0.977934783	0.796086957
5850	1	0.982065217	0.805108696
5900	1	0.988804348	0.818695652
5950	1	0.994021739	0.826630435
6000	1	0.996630435	0.835543478
6050	0.999674019	1	0.844833207
6100	1	0.995652174	0.850978261
6150	0.991913747	1	0.856819407
6200	0.992234685	1	0.866479724
6250	0.985960776	1	0.869681706
6300	0.984062467	1	0.878596641
6350	0.980078832	1	0.880899116
6400	0.97914006	1	0.889527458
6450	0.970668917	1	0.893226419
6500	0.975506309	1	0.905206235
6550	0.96658962	1	0.904181551
6600	0.96466394	1	0.914648212
6650	0.966082117	1	0.921243306
6700	0.956042814	1	0.918008937
6750	0.964158457	1	0.933871306
6800	0.953664352	1	0.935731315
6850	0.955447087	1	0.942465469
6900	0.948747035	1	0.945343921
6950	0.951789779	1	0.955203807
7000	0.945237851	1	0.956847837
7050	0.93705439	1	0.960786311
7100	0.935720098	1	0.966842962
7150	0.940695297	1	0.971267894
7200	0.944267679	1	0.97957508
7250	0.929856479	1	0.980190014
7300	0.928636318	1	0.986373271
7350	0.926112341	1	0.990235555
7400	0.926392106	1	0.997784715
7450	0.92	0.9979	1
7500	0.91034	0.9932	1
7550	0.907948	0.9888	1
7600	0.90574	0.9815	1
7650	0.895528	0.9782	1
7700	0.890468	0.9766	1
7750	0.884212	0.9707	1
7800	0.876576	0.9663	1
7850	0.876576	0.9635	1
7900	0.866088	0.9614	1
7950	0.8579	0.9547	1
8000	0.857348	0.9511	1
